                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.8853,                 3.0811,                 3.6479,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6242,                 5.6432,                 4.1866,             0.00055219,             0.00055219,             0.00055219
                     35,                 3.5372,                 3.1462,                 3.5623,                0.00057,                0.06667,                 0.0004,                0.00012,                 4.6237,                 5.6704,                 4.1907,             0.00056556,             0.00056556,             0.00056556
                     36,                 3.4572,                 3.0283,                 3.5673,                0.00056,                0.06667,                0.00038,                0.00012,                 4.6105,                 5.6791,                 4.1951,             0.00057872,             0.00057872,             0.00057872
                     37,                 3.4375,                 2.9268,                 3.5983,                0.00057,                0.06667,                0.00041,                0.00012,                 4.6049,                 5.6799,                 4.2001,              0.0005917,              0.0005917,              0.0005917
                     38,                 3.4606,                 2.9258,                 3.4493,                0.00057,                0.06667,                 0.0004,                0.00012,                 4.5927,                 5.6344,                 4.2046,             0.00060447,             0.00060447,             0.00060447
                     39,                 3.4908,                 2.8162,                 3.4298,                0.00059,                0.06667,                0.00043,                0.00013,                 4.5886,                 5.6031,                 4.2087,             0.00061704,             0.00061704,             0.00061704
                     40,                 3.0751,                 2.7231,                 3.4591,                0.00059,                0.06667,                0.00045,                0.00014,                 4.5841,                  5.568,                 4.2128,             0.00062942,             0.00062942,             0.00062942
                     41,                 3.1979,                 2.9209,                  3.359,                 0.0006,                0.06667,                0.00045,                0.00013,                 4.5707,                 5.5615,                 4.2166,              0.0006416,              0.0006416,              0.0006416
                     42,                 3.3162,                 2.7635,                 3.2966,                0.00059,                0.06667,                0.00043,                0.00013,                 4.5625,                  5.411,                 4.2199,             0.00065358,             0.00065358,             0.00065358
                     43,                 3.1525,                 2.6868,                 3.2942,                0.00059,                0.06667,                0.00045,                0.00013,                 4.5549,                 5.4385,                 4.2234,             0.00066536,             0.00066536,             0.00066536
                     44,                 3.2721,                 2.6407,                 3.2445,                0.00059,                0.06667,                0.00041,                0.00012,                 4.5436,                 5.4752,                 4.2259,             0.00067695,             0.00067695,             0.00067695
                     45,                 3.2779,                 2.6421,                 3.2208,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5372,                 5.5083,                 4.2291,             0.00068834,             0.00068834,             0.00068834
                     46,                 3.1938,                  2.841,                 3.2864,                 0.0006,                0.06667,                 0.0004,                0.00012,                 4.5406,                  5.495,                 4.2339,             0.00069953,             0.00069953,             0.00069953
                     47,                 3.1168,                 2.5167,                 3.0548,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5367,                 5.4805,                 4.2392,             0.00071052,             0.00071052,             0.00071052
                     48,                 3.2069,                 2.7687,                 3.1361,                0.00059,                0.06667,                0.00039,                0.00012,                  4.533,                 5.3985,                 4.2435,             0.00072131,             0.00072131,             0.00072131
                     49,                 3.0209,                 2.5887,                 3.0494,                0.00059,                0.06667,                0.00039,                0.00012,                 4.5289,                 5.3476,                 4.2478,              0.0007319,              0.0007319,              0.0007319
                     50,                 3.0354,                 2.5011,                 2.9363,                0.00059,                0.06667,                 0.0004,                0.00012,                 4.5283,                 5.3167,                 4.2521,              0.0007423,              0.0007423,              0.0007423
                     51,                 2.9489,                 2.4713,                  2.962,                0.00059,                0.06667,                 0.0004,                  8e-05,                  4.531,                 4.5231,                 4.2547,              0.0007525,              0.0007525,              0.0007525
                     52,                   2.97,                 2.5037,                 2.9584,                0.00059,                0.06667,                0.00039,                  8e-05,                 4.5273,                  4.531,                 4.2585,              0.0007625,              0.0007625,              0.0007625
                     53,                 3.1016,                 2.4141,                 2.8783,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5341,                 4.5415,                 4.2589,              0.0007723,              0.0007723,              0.0007723
                     54,                 2.9484,                  2.356,                 2.8744,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5396,                 4.5892,                 4.2564,             0.00078191,             0.00078191,             0.00078191
                     55,                 2.8003,                  2.307,                 2.7871,                 0.0006,                0.06667,                0.00039,                  8e-05,                 4.5494,                 4.6499,                 4.2556,             0.00079132,             0.00079132,             0.00079132
                     56,                 2.8871,                 2.2863,                 2.8227,                 0.0006,                0.06667,                 0.0004,                  8e-05,                 4.5593,                 4.7006,                 4.2534,             0.00080053,             0.00080053,             0.00080053
                     57,                 2.9555,                 2.3799,                 2.7728,                0.00059,                0.06667,                0.00039,                  8e-05,                 4.5672,                 4.7173,                 4.2552,             0.00080954,             0.00080954,             0.00080954
                     58,                 2.8017,                 2.2338,                 2.7538,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5661,                 4.7178,                 4.2601,             0.00081835,             0.00081835,             0.00081835
                     59,                 2.8048,                 2.3347,                 2.8567,                0.00059,                0.06667,                0.00039,                  8e-05,                 4.5956,                 4.5516,                 4.2721,             0.00082696,             0.00082696,             0.00082696
                     60,                 2.9841,                 2.3151,                 2.7496,                 0.0006,                0.06667,                 0.0004,                  8e-05,                 4.5873,                 4.5893,                 4.2729,             0.00083538,             0.00083538,             0.00083538
                     61,                 2.7534,                 2.2452,                 2.7586,                 0.0006,                0.06667,                0.00039,                  8e-05,                 4.5797,                   4.61,                  4.269,              0.0008436,              0.0008436,              0.0008436
                     62,                 2.7347,                  2.323,                 2.7631,                0.00059,                0.06667,                 0.0004,                  8e-05,                 4.5822,                 4.6129,                 4.2713,             0.00085162,             0.00085162,             0.00085162
                     63,                 2.7092,                  2.228,                 2.6295,                0.00061,                0.06667,                0.00041,                  8e-05,                 4.5832,                 4.5762,                 4.2736,             0.00085944,             0.00085944,             0.00085944
                     64,                 2.6512,                 2.3232,                 2.6603,                0.00059,                0.06667,                0.00038,                  8e-05,                 4.5911,                 4.5746,                 4.2752,             0.00086707,             0.00086707,             0.00086707
                     65,                 2.7496,                 2.3138,                 2.7558,                0.00059,                0.06667,                0.00039,                  8e-05,                 4.5813,                 4.5987,                 4.2785,              0.0008745,              0.0008745,              0.0008745
                     66,                 2.7611,                 2.2096,                 2.7066,                0.00153,                0.06667,                0.00084,                0.00017,                 4.5824,                 4.6099,                 4.2826,             0.00088173,             0.00088173,             0.00088173
                     67,                 2.5596,                 2.1543,                 2.6054,                0.00152,                0.06667,                0.00082,                0.00016,                 4.5811,                 4.6782,                 4.2858,             0.00088876,             0.00088876,             0.00088876
                     68,                 2.7208,                 2.2004,                 2.6261,                0.00152,                0.06667,                0.00082,                0.00016,                 4.5878,                 4.7079,                 4.2826,             0.00089559,             0.00089559,             0.00089559
                     69,                 2.6405,                 2.1325,                 2.6423,                0.00158,                0.06667,                0.00086,                0.00017,                 4.5905,                 4.7426,                 4.2792,             0.00090222,             0.00090222,             0.00090222
                     70,                 2.6839,                 2.1522,                  2.634,                0.00159,                0.06667,                0.00086,                0.00017,                 4.5943,                 4.7601,                 4.2797,             0.00090866,             0.00090866,             0.00090866
                     71,                 2.7185,                 2.1238,                 2.5255,                0.00157,                0.06667,                0.00085,                  8e-05,                 4.5876,                 4.7747,                 4.2799,              0.0009149,              0.0009149,              0.0009149
                     72,                  2.523,                 2.0875,                 2.5015,                0.00157,                0.06667,                0.00085,                0.00017,                 4.5701,                 4.7966,                 4.2811,             0.00092094,             0.00092094,             0.00092094
                     73,                 2.6608,                 2.1488,                 2.5538,                0.00155,                0.06667,                0.00084,                0.00017,                 4.5681,                 4.8171,                 4.2859,             0.00092678,             0.00092678,             0.00092678
                     74,                 2.6834,                 2.1307,                 2.5713,                0.00157,                0.06667,                0.00085,                  9e-05,                 4.5498,                 4.8165,                 4.2869,             0.00093243,             0.00093243,             0.00093243
                     75,                 2.7084,                 2.0938,                 2.4445,                0.00149,                0.06667,                 0.0008,                0.00016,                 4.5432,                 4.8336,                 4.2874,             0.00093788,             0.00093788,             0.00093788
                     76,                 2.6001,                 2.0586,                 2.4948,                0.00151,                0.06667,                0.00082,                0.00016,                 4.5324,                 4.8326,                 4.2889,             0.00094313,             0.00094313,             0.00094313
                     77,                 2.6876,                 2.1604,                 2.5916,                0.00154,                0.06667,                0.00083,                0.00017,                 4.5412,                 4.8464,                 4.2954,             0.00094818,             0.00094818,             0.00094818
                     78,                 2.5422,                 2.0826,                 2.4348,                0.00148,                0.06667,                 0.0008,                  8e-05,                 4.5408,                 4.8663,                 4.2995,             0.00095303,             0.00095303,             0.00095303
                     79,                 2.6037,                  2.063,                 2.5491,                0.00161,                0.06667,                0.00087,                0.00017,                 4.5363,                 4.8925,                 4.3038,             0.00095768,             0.00095768,             0.00095768
                     80,                  2.533,                 2.0417,                 2.5001,                0.00167,                0.06667,                0.00089,                0.00018,                 4.5347,                  4.879,                   4.31,             0.00096214,             0.00096214,             0.00096214
                     81,                 2.6398,                 1.9387,                 2.4512,                0.00178,                0.06667,                0.00095,                0.00019,                 4.5163,                 4.7991,                 4.3169,              0.0009664,              0.0009664,              0.0009664
                     82,                   2.65,                 2.2327,                 2.5143,                0.00175,                0.06667,                0.00095,                0.00019,                 4.5164,                 4.8065,                 4.3145,             0.00097046,             0.00097046,             0.00097046
                     83,                 2.6362,                 2.1257,                 2.4757,                0.00174,                0.06667,                0.00093,                0.00019,                  4.514,                  4.799,                 4.3101,             0.00097432,             0.00097432,             0.00097432
                     84,                 2.5848,                 2.1545,                 2.4132,                0.00162,                0.06667,                0.00087,                0.00017,                 4.5145,                 4.7276,                 4.3097,             0.00097799,             0.00097799,             0.00097799
                     85,                 2.4665,                 2.1087,                 2.4382,                0.00062,                0.06667,                0.00041,                  8e-05,                 4.5037,                 4.6923,                 4.3077,             0.00098146,             0.00098146,             0.00098146
                     86,                 2.6107,                 2.1393,                 2.4718,                0.00063,                0.06667,                0.00041,                  8e-05,                 4.5109,                 4.6865,                 4.2987,             0.00098472,             0.00098472,             0.00098472
                     87,                 2.5377,                 2.0514,                 2.4551,                0.00164,                0.06667,                0.00089,                0.00018,                 4.5121,                 4.7085,                 4.2893,              0.0009878,              0.0009878,              0.0009878
                     88,                 2.4546,                 2.0534,                 2.4242,                0.00175,                0.06667,                0.00094,                0.00019,                 4.5196,                 4.7159,                 4.2814,             0.00099067,             0.00099067,             0.00099067
                     89,                 2.4764,                 1.9487,                  2.364,                0.00174,                0.06667,                0.00093,                0.00019,                 4.5194,                 4.6837,                 4.2787,             0.00099334,             0.00099334,             0.00099334
                     90,                 2.5983,                 1.9843,                 2.3931,                0.00175,                0.06667,                0.00093,                0.00019,                 4.5281,                 4.6385,                 4.2647,             0.00099582,             0.00099582,             0.00099582
                     91,                 2.4753,                 1.9379,                 2.3151,                0.00176,                0.06667,                0.00095,                0.00019,                 4.5338,                 4.6018,                 4.2482,              0.0009981,              0.0009981,              0.0009981
                     92,                  2.548,                  2.066,                  2.465,                0.00175,                0.06667,                0.00093,                0.00028,                   4.54,                 4.5523,                 4.2327,              0.0010002,              0.0010002,              0.0010002
                     93,                 2.4408,                  1.912,                 2.3346,                0.00174,                0.06667,                0.00093,                0.00019,                 4.5354,                 4.5632,                 4.2191,              0.0010021,              0.0010021,              0.0010021
                     94,                 2.4099,                  1.981,                 2.3845,                0.00173,                0.06667,                0.00093,                0.00019,                 4.5232,                  4.589,                 4.2253,              0.0010037,              0.0010037,              0.0010037
                     95,                  2.466,                 1.8758,                 2.3094,                0.00175,                0.06667,                0.00094,                0.00028,                 4.5052,                 4.6102,                 4.2189,              0.0010052,              0.0010052,              0.0010052
