                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  3.777,                 3.0112,                 3.6153,                0.00057,                0.06667,                0.00037,                0.00011,                 4.6159,                 5.6361,                 4.1845,             0.00058813,             0.00058813,             0.00058813
                     35,                 3.5263,                 3.1037,                 3.5546,                0.00057,                0.06667,                0.00039,                0.00012,                 4.6114,                 5.6597,                 4.1886,              0.0006037,              0.0006037,              0.0006037
                     36,                 3.4037,                 2.9832,                 3.5221,                0.00057,                0.06667,                0.00038,                0.00011,                 4.5966,                 5.6739,                 4.1932,             0.00061915,             0.00061915,             0.00061915
                     37,                 3.3611,                 2.9171,                 3.5781,                0.00057,                0.06667,                0.00038,                0.00011,                 4.5912,                 5.6465,                 4.1989,             0.00063446,             0.00063446,             0.00063446
                     38,                 3.4613,                  2.978,                 3.4664,                0.00057,                0.06667,                0.00039,                0.00012,                 4.5864,                 5.6181,                 4.2046,             0.00064965,             0.00064965,             0.00064965
                     39,                 3.5625,                 2.8192,                 3.3841,                0.00059,                0.06667,                 0.0004,                0.00012,                 4.5682,                 5.4113,                 4.2097,              0.0006647,              0.0006647,              0.0006647
                     40,                 3.0993,                 2.7588,                 3.4014,                0.00059,                0.06667,                0.00042,                0.00013,                 4.5614,                 5.3996,                 4.2135,             0.00067961,             0.00067961,             0.00067961
                     41,                 3.2859,                 2.9035,                 3.3196,                0.00059,                0.06667,                 0.0004,                0.00012,                 4.5461,                 5.3686,                 4.2166,              0.0006944,              0.0006944,              0.0006944
                     42,                 3.2316,                 2.7104,                 3.2042,                 0.0006,                0.06667,                0.00039,                0.00012,                 4.5353,                 5.3817,                 4.2211,             0.00070905,             0.00070905,             0.00070905
                     43,                  3.161,                 2.7016,                 3.2786,                0.00059,                0.06667,                0.00042,                  4e-05,                 4.5297,                 5.4253,                  4.225,             0.00072358,             0.00072358,             0.00072358
